Experiment,Sub-experiment,Splitter,Transpiler,Transpiler1,Transpiler2,Submitter,Submitter1,Submitter2,Merger,Poller,Reconstructor,total_time
aws-dynamic-hw,d51,1.949,18.683,NA,NA,18.237,NA,NA,0.0,27.755,0.679,67.303
az-dynamic-sim,d51,0.559,27.816,NA,NA,54.761,NA,NA,0.008,NA,NA,83.144
az-dynamic-hw,d51,0.573,13.527,NA,NA,13.884,NA,NA,0.005,23.407,0.195,51.591
az-dynamic-hw,t10,2.985,13.625,NA,NA,15.254,NA,NA,0.008,13.7,0.035,45.607
aws-dynamic-sim,d51,0.642,18.663,NA,NA,45.266,NA,NA,0.001,NA,0.206,64.77799999999999
aws-dynamic-hw,t10,8.557,14.608,NA,NA,17.329,NA,NA,0.0,11.968,0.111,52.573
aws-dynamic-sim,t10,1.242,17.521,NA,NA,32.949,NA,NA,0.0,NA,0.027,51.739
az-dynamic-sim,t10,0.843,30.506,NA,NA,43.681,NA,NA,0.01,NA,NA,75.03999999999999
az-static-sim-1|1,d51,0.543,NA,15.422,15.561,NA,75.769,79.026,0.012,NA,0.397,186.73
aws-static-sim-1|3,d51,4.524,NA,32.853,95.152,NA,28.996,70.606,0.001,NA,0.46,232.59199999999998
aws-static-hw-1|1,d51,1.97,NA,65.11,52.029,NA,40.951,37.747,0.014,25.115,0.7,223.636
az-static-sim-1|2,t10,6.782,NA,18.873,26.858,NA,20.014,53.646,0.01,NA,0.268,126.45100000000001
aws-static-sim-1|2,t10,33.543,NA,31.13,62.913,NA,23.211,46.122,0.001,NA,0.292,197.212
aws-static-hw-1|2,t10,38.633,NA,12.866,16.748,NA,16.292,31.875,0.0,36.555,0.304,153.273
aws-static-sim-1|1,d51,1.995,NA,45.619,50.668,NA,142.71,144.124,0.001,NA,0.695,385.812
az-static-hw-1|1,d51,0.546,NA,14.329,10.515,NA,17.295,14.678,0.006,26.061,0.198,83.628
az-static-sim-1|3,d51,0.926,NA,17.578,39.988,NA,24.508,67.372,0.007,NA,0.413,150.792
az-static-hw-1|2,t10,6.348,NA,14.672,16.962,NA,14.638,31.336,0.006,35.259,0.264,119.485
az-static-hw-1|3,d51,1.331,NA,16.327,22.674,NA,17.375,50.112,0.006,51.225,0.398,159.448
aws-static-hw-1|3,d51,4.526,NA,18.058,32.535,NA,21.955,69.449,0.0,48.041,0.484,195.048
az-serial-sim,t10,6.348,14.672,NA,NA,16.962,NA,NA,NA,NA,14.638,52.62
az-serial-hw,t10,2.996,31.885,NA,NA,22.828,NA,NA,0.011,28.614,0.051,86.385
aws-serial-hw,d29,0.968,22.262,NA,NA,498.2,NA,NA,0.0,83.482,0.247,605.159
aws-serial-sim,d51,3.04,36.098,NA,NA,174.403,NA,NA,NA,NA,0.645,214.18599999999998
aws-serial-sim,t10,38.633,12.866,NA,NA,16.748,NA,NA,NA,NA,16.292,84.539
aws-serial-sim,d62,3.04,36.098,NA,NA,174.403,NA,NA,NA,NA,0.645,214.18599999999998
aws-serial-sim,d29,0.982,31.52,NA,NA,88.035,NA,NA,NA,NA,0.26,120.797
aws-serial-sim,t6,6.544,51.16,NA,NA,67.114,NA,NA,NA,NA,0.061,124.879
aws-serial-hw,t10,3.763,36.411,NA,NA,47.986,NA,NA,0.001,15.767,0.086,104.014
az-serial-hw,t6,3.506,13.826,NA,NA,17.04,NA,NA,0.003,11.066,0.041,45.482
aws-serial-hw,d62,2.728,31.884,NA,NA,56.715,NA,NA,0.001,35.107,0.667,127.102
az-serial-sim,d29,0.508,18.638,NA,NA,55.857,NA,NA,NA,NA,0.137,75.14
aws-serial-hw,t16,80.574,182.001,NA,NA,61.658,NA,NA,0.0,90.031,35.085,449.349
az-serial-hw,d51,0.477,241.271,NA,NA,40.039,NA,NA,0.008,42.499,0.207,324.501
az-serial-sim,d62,0.685,19.394,NA,NA,381.484,NA,NA,NA,NA,0.442,402.005
az-serial-hw,t16,52.889,305.564,NA,NA,73.496,NA,NA,0.01,48.158,62.549,542.666
az-serial-sim,t6,0.297,16.06,NA,NA,17.92,NA,NA,NA,NA,0.021,34.298
az-serial-hw,d62,0.705,27.888,NA,NA,57.537,NA,NA,0.01,51.102,0.186,137.428
aws-serial-hw,t6,2.59,14.581,NA,NA,18.303,NA,NA,0.0,12.15,0.074,47.698
az-serial-hw,d29,0.324,20.143,NA,NA,115.972,NA,NA,0.005,92.024,0.158,228.626
az-serial-sim,d51,0.512,20.163,NA,NA,68.499,NA,NA,NA,NA,0.409,89.583
aws-serial-hw,d51,1.983,27.742,NA,NA,59.465,NA,NA,0.001,29.92,0.664,119.775
