Experiment type,Experiment Subtype,WorkFlowName,InstanceId,Total_workflow_exec_time_E2E,TotalFuntionExecutionTimeWithCritical,TotalFuntionExecutionTime,Total_waiting_time,TotalCost,Q_Results,Poller_ex_time,Exec_time_excluding_poller
d29,AZ_RH,QXFaaSSerialHardwareV3AWS,f781f216ec3246b59f27186924da0b4f,3277.093,NA,NA,2805.439,0.00005513776928710937,"cwhny6r9r49g008krgyg->use:2,wait:2630.851,cwhnydh40e000088xj2g->use:2,wait:2606.542,cwhnyk2543p00086dfr0->use:2,wait:2585.632,cwhnyrb31we000880sh0->use:2,wait:2566.319,cwhnyz331we000880sm0->use:2,wait:2551.911",NA,NA
d51,AZ_RH,QXFaaSSerialHardwareV3AWS,b4a8d62f31404733ba466904bae69efa,3245.875,NA,NA,2773.912,0.00011108713403320312,"cwhmwja40e000088xddg->use:3,wait:2814.679,cwhmwqa0r6b0008ppef0->use:3,wait:2801.556",NA,NA
d62,AZ_RH,QXFaaSSerialHardwareV3AWS,1bd83a81abf94aef8e7f54241a5a9bfa,138.07,NA,NA,0.6419999999999959,0.00002093363018798828,"cwhpx2cmptp0008h9asg->use:3,wait:38.367,cwhpx7m40e000088xp3g->use:3,wait:39.173",NA,NA
t10,AZ_RH,QXFaaSSerialHardwareV3AWS,63e2dffaf7474e21863f0d79227388a2,86.804,NA,NA,0.41899999999999693,0.00001091244055175781,"cwdb2qa9r49g008j8ps0->use:2,wait:16.717",NA,NA
d29,AWS_RH,QXFaaSSerialHardwareV3AWS,offloader-d29-q20,107.694,NA,NA,100.83500000000001,0.00000002581773199425,NA,NA,NA
d51,AWS_RH,QXFaaSSerialHardwareV3AWS,offloader-d51-q20,114.731,NA,NA,106.81599999999999,0.00000029846543559341,NA,NA,NA
d62,AWS_RH,QXFaaSSerialHardwareV3AWS,offloader-d62-q20,108.513,NA,NA,100.786,0.00000003086560382500,NA,NA,NA
t10,AWS_RH,QXFaaSSerialHardwareV3AWS,offloader-d37-q10,109.112,NA,NA,100.893,0.00000065466948153687,NA,NA,NA
t6,AZ_RH,QXFaaSSerialHardwareV3AWS,6e30f46792fb43419555faab24f6b76e,1951.167,NA,NA,1882.8059999999998,0.00001150378759765625,"cwjemjt543p00086hwbg->use:2,wait:1874.004",NA,NA
t16,AZ_RH,QXFaaSSerialHardwareV3AWS,561c8a6501384343a7b069f77a54cdae,3459.967,NA,NA,2783.52,0.00114523505078125017,"cwjepc9543p00086hyag->use:356,wait:2074.985,cwjepk20r6b0008ptxqg->use:356,wait:2017.467",NA,NA
t16,AWS_RH,QXFaaSSerialHardwareV3AWS,dynamic-q16-d37-trotter-lq,1600.311,NA,NA,821.026,0.00194389687770754973,"cwjh0as40e0000893amg->use:355,wait:704.097,cwjh0ha0r6b0008pwc3g->use:355,wait:791.5440000000001",NA,NA
t6,AWS_RH,QXFaaSSerialHardwareV3AWS,offloader-d37-q6,112.399,NA,NA,100.795,0.00000225679880731010,NA,NA,NA
