experiment,Cost,Function Execution time (Total_workflow_exec_time_E2E),Async. Poller Time (Async_Poller_Time),Quantum Queue Time (Total_Quantum_Queue_Time),Quantum HW/Sim. Exec Time (Total_Quantum_Exectime),Inter-func. Time Excluding Polling (Inter_Function_Time_Excluding_Poller),Inter-func. time (Inter_Function_Time),E2E WF Exec. Time (E2E_WF_Exec_Time),Inter-func. payload size,Quantum Job ID (Job_Ids)
d29-AZ_RH,0.00005513776928710937,3277.093,335.052,12941.255,10,136.65099999999995,471.703,471.654,148391,"cwhny6r9r49g008krgyg,cwhnydh40e000088xj2g,cwhnyk2543p00086dfr0,cwhnyrb31we000880sh0,cwhnyz331we000880sm0"
d51-AZ_RH,0.00011108713403320312,3245.875,189.961,5616.235000000001,6,282.056,472.017,471.963,154520,"cwhmwja40e000088xddg,cwhmwqa0r6b0008ppef0"
d62-AZ_RH,0.00002093363018798828,138.07,51.102,77.53999999999999,6,86.37,137.472,137.428,138212,"cwhpx2cmptp0008h9asg,cwhpx7m40e000088xp3g"
t10-AZ_RH,0.00001091244055175781,86.804,28.614,16.717,2,57.846999999999994,86.461,86.385,33690,cwdb2qa9r49g008j8ps0
d29-AWS_RH,0.00011135155822818374,3715.164,1165.421,15735.592,10,521.6769999999999,1687.098,1687.098,334216,"cwhmnsq543p00086da4g,cwhmp8s0r6b0008ppdeg,cwhmpkj9r49g008krbd0,cwhms6m0r6b0008ppdwg,cwhmscd0r6b0008ppdy0"
d51-AWS_RH,0.00003689892627318916,234.193,29.92,153.582,6,89.855,119.775,119.775,128560,"cwhnqh640e000088xgyg,cwhnqtf543p00086den0"
d62-AWS_RH,0.00005362861919448318,3038.05,730.258,5816.591,6,91.995,822.253,822.253,326760,"cwhntwb31we000880s1g,cwhnv3w31we000880s40"
t10-AWS_RH,0.00002666032674533119,342.098,38.906,132.671,2,88.24700000000001,127.153,127.153,35822,cwdayh29r49g008emd9g
t6-AZ_RH,0.00001150378759765625,1951.167,33.945,1874.004,2,34.513,68.458,68.361,36484,cwjemjt543p00086hwbg
t16-AZ_RH,0.00114523505078125017,3459.967,181.939,4092.452,712,494.629,676.568,676.447,17919530,"cwjepc9543p00086hyag,cwjepk20r6b0008ptxqg"
t16-AWS_RH,0.00194389687770754973,1600.311,419.967,1495.641,710,359.318,779.285,779.285,26218,"cwjh0as40e0000893amg,cwjh0ha0r6b0008pwc3g"
t6-AWS_RH,0.00000911670842401352,265.902,24.417,186.836,2,35.548,59.965,59.965,31136,cwjfqpymptp00085td00
d51-AWS_RH_dynamic,0.00002650369426297912,326.608,27.755,43.828,6,80.126,107.881,107.565,193430,"cwqsdyqehebg008hxr50,cwqsdyfehebg008hxr4g"
d51-Az_RH_dynamic,0.00000308244665527344,1003.645,40.651,40.561,6,28.30899999999999,68.96,68.835,197857,"cwqskx7997wg008xcmsg,cwqsm405v39g008h5gj0"
d37-AWS_RH_dynamic,0.00001361687007578773,165.058,11.968,18.381,2,40.906000000000006,52.874,52.573,44939,cwqsz3cehebg008hxtn0
d37-Az_RH_dynamic,0.00000779146221923828,974.151,21.864,21.506,2,31.983999999999998,53.848,53.771,42930,cwqsye1997wg008xcpcg
d51-AWS_RH_static,0.00007232161534860954,860.689,239.252,2464.7850000000003,16,147.007,386.259,346.246,1675853,"cwv0v2mtdtng008786z0,cwv0v545v39g008hjkzg,cwv0vcx2ac5g008j8zj0,cwv0vhptdtng00878770"
d51-Az_RH_static,0.00000914362359619141,1125.21,95.084,470.5,16,108.27799999999999,203.362,169.605,1127287,"cwv1khe997wg008xt1cg,cwv1knp60bqg008pkc20,cwv1ksz2ac5g008j91ng,cwv1ky7997wg008xt1eg"
